수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-06-23 오후 9:13:18,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:13:18.408
ProcessGuid: {c00189fc-44db-6859-8a5a-000000006900}
ProcessId: 392132
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MpCmdRun.exe
User: NT AUTHORITY\NETWORK SERVICE"
정보,2025-06-23 오후 9:13:15,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2025-06-23 12:13:15.538
ProcessGuid: {c00189fc-44db-6859-8a5a-000000006900}
ProcessId: 392132
Image: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MpCmdRun.exe
FileVersion: 4.18.25050.5 (bcf51ab773be21957c5713cae9cb3adf2fd75bf5)
Description: Microsoft Malware Protection Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: MpCmdRun.exe
CommandLine: ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MpCmdRun.exe"" GetDeviceTicket -AccessKey 1D8D6829-51FD-BC41-0361-8E760680CAEF 
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\NETWORK SERVICE
LogonGuid: {c00189fc-cc33-684b-e403-000000000000}
LogonId: 0x3E4
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=7EB7B7A20D7E74DEACB58E0A66F72AC477E41813CC4B20BCAF74BA53B09EFC89
ParentProcessGuid: {c00189fc-fe46-6853-3830-000000006900}
ParentProcessId: 3196
ParentImage: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe
ParentCommandLine: ""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25050.5-0\MsMpEng.exe""
ParentUser: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:13:09,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:13:09.741
ProcessGuid: {c00189fc-153d-6859-3a59-000000006900}
ProcessId: 364604
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:12:54,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:12:54.657
ProcessGuid: {c00189fc-44c5-6859-875a-000000006900}
ProcessId: 393176
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:12:42,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:12:42.991
ProcessGuid: {c00189fc-1614-6859-4e59-000000006900}
ProcessId: 367260
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:12:37,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:12:37.446
ProcessGuid: {c00189fc-4458-6859-7e5a-000000006900}
ProcessId: 392440
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:12:27,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:12:27.820
ProcessGuid: {c00189fc-4451-6859-7a5a-000000006900}
ProcessId: 391776
Image: C:\Windows\System32\wbem\WmiPrvSE.exe
User: NT AUTHORITY\NETWORK SERVICE"
정보,2025-06-23 오후 9:12:11,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:12:11.078
ProcessGuid: {c00189fc-42b1-6859-185a-000000006900}
ProcessId: 377108
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:11:41,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:41.977
ProcessGuid: {c00189fc-4457-6859-7c5a-000000006900}
ProcessId: 389836
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:11:41,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:41.346
ProcessGuid: {c00189fc-4458-6859-7f5a-000000006900}
ProcessId: 392236
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:11:27,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:27.556
ProcessGuid: {c00189fc-4460-6859-835a-000000006900}
ProcessId: 392456
Image: C:\Program Files (x86)\Google\GoogleUpdater\138.0.7194.0\updater.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:11:27,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:27.539
ProcessGuid: {c00189fc-4460-6859-825a-000000006900}
ProcessId: 391184
Image: C:\Program Files (x86)\Google\GoogleUpdater\138.0.7194.0\updater.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:11:24,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:24.847
ProcessGuid: {c00189fc-446b-6859-865a-000000006900}
ProcessId: 391208
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:11:24,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:24.148
ProcessGuid: {c00189fc-446b-6859-855a-000000006900}
ProcessId: 374092
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:11:24,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:24.137
ProcessGuid: {c00189fc-446b-6859-845a-000000006900}
ProcessId: 390208
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:11:22,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:11:22.761
ProcessGuid: {c00189fc-160c-6859-4559-000000006900}
ProcessId: 363568
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
